Language,Code
Amharic,amh
Armenian,hye
Asturian,ast
Belarusian,bel
Bengali,ben
Bulgarian,bul
Burmese,mya
Georgian,kat
Greek,ell
Gujarati,guj
Hebrew,heb
Hindi,hin
Japanese,jpn
Kannada,kan
Kazakh,kaz
Khmer,khm
Korean,kor
Kyrgyz,kir
Lao,lao
Macedonian,mkd
Malayalam,mal
Marathi,mar
Nepali,npi
Pashto,pbu
Punjabi,pan
Russian,rus
Serbian,srp
Tajik,tgk
Tamil,tam
Telugu,tel
Thai,tha
Ukrainian,ukr
Urdu,urd
Vietnamese,vie
Turkish,tur
Uzbek,uzn
Wolof,wol
Zulu,zul
Arabic,arb
Cebuano,ceb
Chinese_Simpl,cmn
Fula,fuv
Ganda,lug
Icelandic,isl
Lingala,lin
Maori,mri
Mongolian,khk
Nyanja,nya
Romanian,ron
Sorani_Kurdish,ckb
Shona,sna
Umbundu,umb
Swahili,swh
Somali,som
Swedish,swe
Polish,pol
Slovak,slk
Slovenian,slv
Oromo,gaz
Portuguese_Portugal,por
